Sheath MFC,Sheath Pressure,Pneum. Atomizer MFC,Pneum. Atomizer Press.,Pneum. Impactor Exhaust MFC,Pneum. Impactor Exhaust Press.,Platen Heater,Ink,Ink_temp,Substrate,Print_speed,SPC,Viscosity,Surface Tension,Density,Line,Output
9.282,0.16,1020.029,8.916,995.603,0.0,69.8,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.059,1
9.282,0.161,1020.029,8.908,994.626,0.0,70.2,Tungsten,30.0,LTCC,1,60.0,275,29.0,2.4,0.059,1
9.282,0.343,1050.318,8.835,995.603,0.0,70.2,Tungsten,30.2,LTCC,1,60.0,275,29.0,2.4,0.054,1
9.282,0.342,1049.34,8.835,995.603,0.0,70.2,Tungsten,30.2,LTCC,1,60.0,275,29.0,2.4,0.054,1
9.282,0.342,1050.318,8.857,994.626,0.0,70.2,Tungsten,30.2,LTCC,1,60.0,275,29.0,2.4,0.054,1
9.184,0.344,1050.318,8.857,994.626,0.0,70.8,Tungsten,30.2,LTCC,1,60.0,275,29.0,2.4,0.054,1
9.282,0.347,1050.318,8.857,996.58,0.0,70.2,Tungsten,30.2,LTCC,1,60.0,275,29.0,2.4,0.054,1
9.282,0.348,1049.34,8.857,994.626,0.0,70.2,Tungsten,30.2,LTCC,1,60.0,275,29.0,2.4,0.054,1
9.282,0.354,146.556,0.813,94.773,0.305,70.2,Tungsten,30.2,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.341,1099.169,9.963,1044.455,0.0,70.2,Tungsten,30.2,LTCC,1,60.0,275,29.0,2.4,0.071,1
9.282,0.338,1099.169,9.963,1045.432,0.0,70.2,Tungsten,30.2,LTCC,1,60.0,275,29.0,2.4,0.071,1
9.184,0.341,1099.169,9.927,1045.432,0.0,70.2,Tungsten,30.2,LTCC,1,60.0,275,29.0,2.4,0.071,1
9.282,0.347,1148.999,10.681,1093.307,0.0,69.8,Tungsten,30.3,LTCC,1,60.0,275,29.0,2.4,0.091,1
9.184,0.344,1149.976,10.696,1093.307,0.0,69.8,Tungsten,30.3,LTCC,1,60.0,275,29.0,2.4,0.091,1
9.184,0.155,165.12,0.571,144.602,0.066,69.5,Tungsten,30.1,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.155,165.12,0.586,144.602,0.066,69.5,Tungsten,30.1,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.154,166.097,0.586,144.602,0.066,70.2,Tungsten,30.1,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.153,166.097,0.571,145.579,0.063,69.5,Tungsten,30.1,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.153,165.12,0.586,145.579,0.063,69.5,Tungsten,30.1,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.35,196.385,0.989,144.602,0.25,70.2,Tungsten,30.1,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.35,196.385,0.982,143.625,0.25,70.5,Tungsten,30.1,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.353,195.408,0.982,144.602,0.25,70.5,Tungsten,30.1,LTCC,0,60.0,275,29.0,2.4,0.0,0
